Výrok;Vyhodnotenie;Odôvodnenie;Oblast;Dátum;Meno;"Politická strana"
"…bývalej Dzurindovej vlády, ktorá sprivatizovala všetky nemocnice. ";Nepravda;;;0000-00-00;"Matúš Šutaj Eštok";Hlas
"Viete veľmi dobre, že záchrankový tender tu prebiehal za rovnakých podmienok a okolností, aký bol nastavený ešte od čias bývalej Dzurindovej vlády (...). Tie podmienky boli rovnako nastavené aj v tomto prípade.";Pravda;"Výberové konanie na prevádzkovanie záchraniek sa  v roku 2005 aj v 2025 riadilo rovnakým zákonom. Obe súťaže podliehali zákonu o poskytovateľoch zdravotnej starostlivosti z roku 2004, nepodliehali zákonu o verejnom obstarávaní. Výrok hodnotíme ako pravdivý.";Zdravotníctvo;2026-01-11;"Matúš Šutaj Eštok";Hlas
"42 % konsolidácie musí zvládať bežný občan.";Pravda;"Podľa Rady pre rozpočtovú zodpovednosť tvorí daňovo-odvodová záťaž fyzických osôb až 42 percent opatrení konsolidačného balíčka, ktorý vláda Roberta Fica predstavila v septembri 2025. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2026-01-11;"Milan Majerský";"Kresťanskodemokratické hnutie"
"Práve preto sme prišli aj so zrušením Úradu na ochranu oznamovateľa, pretože to je ten úrad, ktorý sedem dní po voľbách dal ochranu zbabelým čurillovcom na základe vymysleného, vymysleného trestného stíhania vo veci Rozuzlenie.";Nepravda;"Vyšetrovatelia okolo Jána Čurillu získali krátko po voľbách v roku 2023 status chránených oznamovateľov za to, že oznamovali skutočnosti v trestnej veci Rozuzlenie. Generálna prokuratúra postupne zrušila stíhanie všetkým obvineným v tejto kauze. Argumentovala aj tým, že opísaný skutok nie je trestným činom. O udelení ochrany však nerozhodol Úrad na ochranu oznamovateľov, ktorý to ani nemá v kompetencii, aleprokurátor špeciálnej prokuratúry. Výrok Matúša Šutaja Eštoka preto hodnotíme ako nepravdivý.";"Spravodlivosť a súdnictvo";2026-01-11;"Matúš Šutaj Eštok";Hlas
"Milión ľudí máte na hranici chudoby.";Pravda;"Podľa Správy o chudobe na Slovensku 2025, ktorá vychádza z dát Eurostatu a Štatistického úradu SR, žilo v roku 2024 na hranici chudoby 980 tisíc Slovákov. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2026-01-11;"Milan Majerský";"Kresťanskodemokratické hnutie"
"Veď ja už som nevidel dlhšiu rozpravu v parlamente, ako bola napr. pri rušení Úradu na ochranu oznamov a vytvorení nového úradu. Nevidel som dlhšiu rozpravu. Ozaj zákon, ktorý by v roku 2025 bol dlhšie prerokovaný v prvom čítaní, v skrátenom, v druhom čítaní, v treťom čítaní, to boli desiatky hodín. Ja som ešte nevidel.";Neoveritelné;;"Legislatívny proces a hlasovania";2026-01-11;"Matúš Šutaj Eštok";Hlas
"Rodičia s dvoma deťmi 900 eur si zaplatia tento rok účet.";Pravda;"Podľa R	ady pre rozpočtovú zodpovednosť sa v dôsledku konsolidácie znížia príjmy dvojice s dvomi deťmi v roku 2026 o 858 eur. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2026-01-11;"Milan Majerský";"Kresťanskodemokratické hnutie"
"V rámci skráteného legislatívneho konania tu za predchádzajúcej vlády bol enormne väčší počet zákonov takto prijatých.";Zavádzajúce;"Počas štvrtej vlády Roberta Fica bolo do konca roka 2025 v skrátenom legislatívnom konaní prijatých 64 zákonov, zatiaľ čo v predchádzajúcom volebnom období ich bolo 110. Hoci ide o vyšší počet, od roku 2023 predstavujú zákony prijaté v skrátenom legislatívnom konaní väčší podiel zo všetkých schválených zákonov. Zároveň treba zohľadniť, že volebné obdobie od októbra 2023 do konca roka 2025 je o viac než rok kratšie než obdobie rokov 2020 – 2023. Porovnávanie absolútnych počtov zákonov prijatých v skrátenom legislatívnom konaní je preto zavádzajúce.";"Legislatívny proces a hlasovania";2026-01-11;"Matúš Šutaj Eštok";Hlas
"Firmy, podniky krachujú, 170 000 000 ste dali viac na platoch.";Neoveritelné;"V roku 2025 skončil na Slovensku v konkurze tretí najvyšší počet firiem za poslednú dekádu. Ministerstvo financií zároveň informovalo, že štát hospodáril lepšie, než predpokladal schválený rozpočet. Opoziční poslanci však upozorňujú na výpadok výberu daní a spochybňujú reálny obraz verejných financií. Zvýšenie paušálnych náhrad členov vlády predstavuje len zlomok zo 170 miliónov eur a z výroku nie je zrejmé, na aké platy Majerský odkazuje. Výrok preto hodnotíme ako neoveriteľný.";Ekonomika;2026-01-11;"Milan Majerský";"Kresťanskodemokratické hnutie"
"Prieskumy vám presne tieto agentúry Denníka N, SME a podobní, sú presne tieto agentúry IPSOS a NMS namerali, pani redaktorka, mesiac pred parlamentnými voľbami pod 10 %, skúste si to pozrieť. A potom bol výsledok taký, že sme mali 15 %.";Zavádzajúce;"V parlamentných voľbách z konca septembra 2023 získala strana Hlas 14,7 percenta hlasov. Prieskumy agentúr NMS a Ipsos z augusta a začiatku septembra 2023 jej síce namerali nižšiu podporu, ale ani v jednom prípade nešlo o hodnotu pod 10 percent. Obe prieskumné agentúry sú nezávislé a samotní zadávatelia ako Denník N či denník SME nemajú na zber a spracovanie ich dát dosah. Matúš Šutaj Eštok nadhodnocuje rozdiel medzi preferenciami, ktoré namerali agentúry, a volebným výsledkom, jeho výrok preto označujeme ako zavádzajúci. ";"Život politických strán";2026-01-11;"Matúš Šutaj Eštok";Hlas
"Tak rekordne za vašej vlády najviac nábojov vyvážame na Ukrajinu.";Neoveritelné;"Vývoz slovenských zbraní a streliva do zahraničia dosiahol v rokoch 2024 – 2025 približnú hodnotu 3 miliardy eur, čo je v porovnaní s rokmi 2020 – 2023, kedy dosiahol 1,1 miliardy eur, takmer trojnásobne viac. Štatistický úrad SR však neuvádza cieľovú krajinu tohto typu exportu, a preto výrok hodnotíme ako neoveriteľný. ";"Obrana, bezpečnosť, polícia";2026-01-11;"Milan Majerský";"Kresťanskodemokratické hnutie"
"142 hlasmi prešiel zákon z dielne ministerstva práce, sociálnych vecí a rodiny, kde po 20 rokoch odstraňujeme diskrimináciu matiek, že teda už výchova dieťaťa nebude mať negatívny vplyv na výšku dôchodkov.";Pravda;"Národná rada schválila novelu sociálneho zákona, ktorá zvyšuje dôchodky rodičov, ktorí sa starali alebo starajú o deti. Z obdobia starostlivosti o dieťa sa už nebude počítať výška dôchodku. Výrok preto hodnotíme ako pravdivý.";"Sociálna politika";2025-12-07;"Erik Tomáš";Hlas
"Koalícia vždy usekáva cez neuznášaniaschopnosť a najstaršie vlastne odvolávanie, ktoré sa neuskutočnilo, je ešte z vlaňajšieho roka.";Pravda;"Opozícia navrhla v decembri 2024 odvolanie ministra vnútra Matúša Šutaja Eštoka. O jeho odvolaní sa v parlamente zatiaľ nehlasovalo. Výrok hodnotíme ako pravdivý.";"Legislatívny proces a hlasovania";2025-12-07;"Marián Viskupič";"Sloboda a Solidarita"
"Pretože ak niekto spochybnil jeden znalecký posudok, treba povedať, že boli dva znalecké posudky, jeden hovoril o cene 19 miliónov, druhý 18 miliónov EUR a pán Kmec, teda, keď to tak môžem povedať, to nakúpil a teda jeho úrad za 16,9 milióna eur (Voderady, pozn.).";Neoveritelné;"Podľa verejne dostupných zdrojov existuje len jeden znalecký posudok. Tento posudok ohodnotil outlet Voderady, ktorý mal v roku 2021 hodnotu päť miliónov eur, na 19,3 milióna eur. Za 16,9 milióna eur ho následne odkúpil štát, a to prostredníctvom Úradu splnomocnenca vlády pre plán obnovy a znalostnú ekonomiku, ktorý v tom čase riadil Peter Kmec. Výrok preto hodnotíme ako neoveriteľný.";Ekonomika;2025-12-07;"Erik Tomáš";Hlas
"Vláda dnes porušuje ústavný zákon o rozpočtovej zodpovednosti, ako povedal pán minister, jednoznačne od 21. 7. už mala byť žiadosť o vyslovenie dôvery, mala byť v parlamente a mali sme o tom rokovať.";Zavádzajúce;"Ústavný zákon o rozpočtovej zodpovednosti ukladá vláde Slovenskej republiky povinnosť požiadať parlament o vyslovenie dôvery, ak výška štátneho dlhu prekročí hranicu 53 % HDP. Výnimkou sú prvé dva roky od vyslovenia dôvery a schválenia programového vyhlásenia, ktoré súčasnej vláde vypršali 22. novembra 2025. Hoci v júli 2025 už výška štátneho dlhu presiahla hranicu 53 % HDP, v tomto období vláda ešte nemala povinnosť požiadať parlament o vyslovenie dôvery. Výrok hodnotíme ako zavádzajúci. ";Ekonomika;2025-12-07;"Marián Viskupič";"Sloboda a Solidarita"
"Myslíte tu NMS, ktorá strane Hlas dávala 2 dni pred voľbami o 5 % menej? Alebo tú NMS, ktorá hovorila pred 2 dni pred druhým kolom prezidentských volieb, že určite vyhrá Korčok? Prosím vás pekne, v iných etablovaných prieskumoch má strana 9 a 10 %. My sa netešíme, pretože tá tendencia naozaj je, ale určite nie taká tragická, ako ukazuje nejaký NMS.";Zavádzajúce;;;0000-00-00;"Erik Tomáš";Hlas
"Môžeme sa baviť o samotnej inovačnej výzve, kde dostali 2 milióny, dostala firma, ktorá má dvoch zamestnancov.";Pravda;"Firma Neviano Group, ktorá získala z Plánu obnovy dotáciu 2,8 milióna eur, v roku 2025 zamestnávala jedného zamestnanca. Výrok hodnotíme ako pravdivý.";Ekonomika;2025-12-07;"Marián Viskupič";"Sloboda a Solidarita"
"To, že sa to rieši v skrátenom legislatívnom konaní (rušenie ÚOO, pozn.), je iná otázka, legitímna, len už to žiadne skrátené legislatívne konanie nie je, pretože sa 2 týždne o tom rokuje a je to už historicky asi jeden z najdlhších legislatívnych konaní.";Zavádzajúce;"Skrátené legislatívne konanie sa od riadneho legislatívneho procesu líši nielen dĺžkou schvaľovania, ale aj tým, že sa k zákonu nemajú možnosť vyjadriť ministerstvá, samosprávy, odborná verejnosť či občianska spoločnosť v pripomienkovom konaní. Navyše nie je pravdou, že v prípade zákona o Úrade na ochranu obetí trestných činov a oznamovateľov ide o najdlhšie skrátene legislatívne konanie. Len v tomto volebnom období rokoval parlament dlhšie v skrátenom legislatívnom konaní o siedmich zákonoch. Výrok Erik Tomáša preto hodnotíme ako zavádzajúci.";"Legislatívny proces a hlasovania";2025-12-07;"Erik Tomáš";Hlas
"Ja som videl číslo 850 EUR, príde každá jedna rodina, každá jedna štvorčlenná rodina (pre budúcoročnú konsolidáciu, pozn.)";Pravda;"Rada pre rozpočtovú zodpovednosť odhadla, že príjmy štvorčlennej rodiny klesnú vplyvom budúcoročnej konsolidácie priemerne o 858 eur ročne. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2025-12-07;"Marián Viskupič";"Sloboda a Solidarita"
"SaS to verejne priznáva, že zruší tento (trinásty, pozn.) dôchodok.";Pravda;"Viacerí poslanci za stranu SaS v televíznych debatách hovorili o zadresnení 13. dôchodku. Predseda SaS sa na sociálnej sieti vyjadril, že ak raz štát nemá peniaze na 13. dôchodky, tak ich logicky nemá platiť. Po schválení 13. dôchodkov v apríli 2024 strana uviedla, že Slovensko nemá ani na dvanáste dôchodky, nieto ešte na trináste. Výrok preto hodnotíme ako pravdivý.";"Sociálna politika";2025-12-07;"Erik Tomáš";Hlas
"Klesáme a Česko proste rastie. Pre tento rok bude mať Česko 2,3-percentný rast, my budeme mať len 0,8. Pre budúci rok my 0,5 a Česko 2,4.";Pravda;"Podľa Národnej banky Slovenska (NBS) bude rásť slovenská ekonomika v roku 2025 o 0,8 % HDP a o 0,5 % HDP v roku 2026. Ministerstvo financií sa ohradilo proti predikcií NBS na rok 2026 a tvrdí, že ekonomika Slovenska bude rásť až o 1,3 % HDP. Česká národná banka odhaduje rast českej ekonomiky v roku 2025 na 2,3 %. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2025-12-07;"Marián Viskupič";"Sloboda a Solidarita"
"...máme infláciu pod 4 %, stále rastú reálne platy. Aké boli Vianoce za predchádzajúce vlády, keď v roku 22 a 23 bolo dvojciferné zdražovanie. V jednom roku 13 %, v druhom 10 %, teraz je zdražovanie necelé 4 %. A platy rastú, reálne platy stále napriek tomu rastú, napriek tomu, že za nich reálne platy klesali.";Pravda;"V októbri 2025 boli ceny o 4 % vyššie v porovnaní s rovnakým obdobím pred rokom. Platy však rástli rýchlejšie, čo znamenalo reálny rast miezd o 2,3 % za prvých deväť mesiacov roku 2025. V rokoch 2022 a 2023 bola inflácia vysoká, 13 % v roku 2022 a 10 % v roku 2023. V rokoch 2022 a 2023 rástli mzdy pomalšie a preto reálne mzdy klesali, opäť začali rásť až v poslednom štvrťroku 2023. Výrok preto hodnotíme ako pravdivý.";Ekonomika;2025-12-07;"Erik Tomáš";Hlas
"Slovenská ekonomika generuje iba necelých 11 dôchodkov, vyplácame 13.";Pravda;"Sociálna poisťovňa v roku 2025 vyplatila starobné dôchodky v objeme 11,4 miliárd eur, na sociálnych odvodoch vybrala 9 miliárd eur. Spolu s dotáciou od štátu, ktorá nahrádza zdroje, o ktoré sociálna poisťovňa prichádza kvôli II. pilieru, tak pokryla o niečo viac ako desať dôchodkov z trinástich vyplatených. Výrok preto hodnotíme ako pravdivý.";"Sociálna politika";2025-12-07;"Marián Viskupič";"Sloboda a Solidarita"
"Kritizujeme Veľkú Britániu kvôli tomu, že financovala volebnú kampaň Progresívneho Slovenska v roku 2023 cez nastrčených influencerov.";Zavádzajúce;"Britská vláda poskytla finančné prostriedky slovenským neziskovým organizáciám buď priamo cez grant ministerstva zahraničných vecí alebo skrz organizáciu Zinc Network. Na Slovensku boli medzi prijímajúcimi organizáciami napríklad MEMO 98, Infosecurity, či kampaň Chcem tu zostať. Tieto finančné prostriedky neboli určené na podporu konkrétnych politických strán, cieľom kampane bola mobilizácia mladých ľudí. Dotknuté organizácie odmietli, že by ich používali na vyplácanie honorárov pre influencerov, preplácali im ale náklady na ubytovanie a cestovné. Tvrdenie premiéra Roberta Fica, že Veľká Británia financovala v roku 2023 kampaň strany Progresívne Slovensko skrz influencerov, preto hodnotíme ako zavádzajúce. ";"Zahraničná politika";2025-12-13;"Robert Fico";"SMER - sociálna demokracia"
"Príklad čurillovcov, keď chcete, o ktorých sú desiatky rozhodnutí súdov, že konali nezákonne, Ústavného Najvyššieho súdu, Generálnej prokuratúry a keď vlastne došlo k zmene vlády, tak vlastne úrad v rozpore so všetkými pravidlami, pretože oni neboli ničoho oznamovatelia, nikdy nič neoznámili sami.";Nepravda;"Neexistuje ani jedno rozhodnutie súdov, Ústavného súdu alebo Najvyššieho súdu o tom, že by Čurillovci konali nezákonne. Skupina policajtov okolo Jána Čurillu je síce obvinená v dvoch prípadoch, ani v jednom však zatiaľ nepadol rozsudok. Čurillovci už v minulosti v niekoľkých prípadoch neuspeli na Najvyššom súde a Ústavnom súde, išlo však najmä o procesné veci a ani jedna z inštitúcií nekonštatovala porušenie zákona zo strany Čurillovcov. Status chráneného oznamovateľa udelila Čurillovcom špeciálna prokuratúra, nie Úrad na ochranu oznamovateľov, ako tvrdí Kaliňák. Zároveň ju nedostali kvôli kauze, ktorú vyšetrujú, ale kvôli prípadu, kde figurujú ako aktéri sporu. Výrok Roberta Kaliňáka preto hodnotíme ako nepravdivý.";"Spravodlivosť a súdnictvo";2025-11-30;"Robert Kaliňák";"SMER - sociálna demokracia"
"Pán minister Kaliňák tu tvrdí, že čurillovci, teda, ktorých oni obviňujú zo zosnovania pomaly prevratu, že boli odsúdení a že to desiatky súdov povedali. No tak žiadny súd ich neodsúdil za to, čo pán Kaliňák hovorí alebo pán Fico alebo pán Gašpar, naopak, oni boli často, a to sa týka aj tých prvostupňových rozhodnutí, boli často očistení a teraz dokonca v prípade teda tohto úradu, ten úrad rozhodol v neprospech ministra vnútra a v prospech toho vyšetrovateľa.";Pravda;"Z deviatich obvinení, ktorým vyšetrovatelia okolo Jána Čurillu od roku 2021 čelili, bolo sedem zrušených. Trestné stíhania súviseli so zneužívaním právomoci, marenia spravodlivosti, vydierania a sabotáže. V súčasnosti (december 2025) sú takzvaní čurillovci stíhaní za údajné zneužívanie právomoci a marenia úlohy verejným činiteľom. V druhom prípade čelia obvineniu zo zneužívania právomoci. Podľa Kaliňáka súdy rozhodli, že policajti okolo Jána Čurillu konali nezákonne, Tibor Gašpar zverejnil zoznam  „obetí konania skupiny čurillovcov“. Robert Fico ich prirovnal k atentátnikovi, ktorý na premiéra vystrelil.  Policajti doposiaľ neboli odsúdení ani v jednom prípade, výrok preto hodnotíme ako pravidvý. ";"Spravodlivosť a súdnictvo";2025-11-30;"Michal Šimečka";"Progresívne Slovensko"
"Že to je fakt, prehrali (Čurillovci, pozn.) 12:0 s ministerstvom vnútra v prípade tých návrhov, ktoré dávali, aby boli vrátení do práce.";Nepravda;"Po voľbách 2023 postavil minister vnútra Matúš Šutaj Eštok viacerých policajtov so statusom chránených oznamovateľov mimo služby. Policajti namietali postup ministra ako nezákonný a obrátili sa preto na súd. Prvostupňové súdy im v štyroch prípadoch vyhoveli a vydali neodkladné opatrenie, v ostatných prípadoch ich návrhy zamietli. Krajský súd však napokon vo všetkých deviatich odvolaniach rozhodol v prospech ministerstva. Tieto konania sa však týkali výlučne neodkladných opatrení – nie zákonnosti samotného vyradenia policajtov zo služby. O tej rozhoduje Správny súd, ktorý v novembri 2025 konštatoval, že ministerstvo postupovalo nezákonne a policajt Pavol Ďurka sa môže vrátiť do práce. Výrok Roberta Kaliňáka o tom, že „Čurillovci“ prehrali všetky spory o návrat do služby, preto hodnotíme ako nepravdivý.";"Korupcia a klientelizmus";2025-11-30;"Robert Kaliňák";"SMER - sociálna demokracia"
"No a teraz, pokiaľ sa týka toho vedenia samotného, určite si spomeniete, pán minister, že tento úrad zriadila vláda, ešte, ak sa nemýlim, pána Fica a pána Pellegriniho, jeho vláda nominovala túto pani súčasnú riaditeľku. A to bol vtedy šéfom Úradu vlády pán Šutaj Eštok, vtedy Progresívne Slovensko nebolo ešte v Národnej rade. (...) Pani Dlugošová tam bola nominovaná, keď bol Peter Pellegrini, predseda vlády. Šutaj Eštok bol vedúci Úradu vlády.";Pravda;"Úrad na ochranu oznamovateľov vznikol v roku 2019 počas vlády Petra Pellegriniho. Tá nominovala Zuzanu Dlugošovú na post predsedníčky úradu na základe odporúčania odbornej komisie dvakrát, v júni a októbri 2019. Vedúcim úradu vlády bol v tom čase Matúš Šutaj Eštok a Progresívne Slovensko bolo mimoparlamentnou stranou. Počas tohto volebného obdobia sa post predsedu úradu na ochranu oznamovateľov nepodarilo obsadiť. Zuzanu Dlugošovú zvolil až nový parlament vo februári 2021 počas vlády Igora Matoviča.";"Korupcia a klientelizmus";2025-11-30;"Michal Šimečka";"Progresívne Slovensko"
"Netvárte sa dnes, že ste neboli ani v parlamente, ani vo vláde, pretože ste mali tlačové konferencie aj poslancom, pán Valášek predsa bol, vyhlasoval sa za poslanca Progresívneho Slovenska a vystupoval v parlamente na tlačovke ako Progresívne Slovensko a jeho hlasovanie, jeho podpora, mali ste podpredsedu parlamentu, ktorý mal brata šéfa tajnej služby.";Pravda;;"Legislatívny proces a hlasovania";2025-11-30;"Robert Kaliňák";"SMER - sociálna demokracia"
"Môže nám aj zobrať peniaze z plánu obnovy, pretože záväzok Slovenska je, že bude mať nezávislý úrad, ktorý bude chrániť tzv. whistleblowerov alebo teda oznamovateľov.";Pravda;"Úrad na ochranu oznamovateľov je súčasťou Plánu obnovy. V prípade, že jeho zrušenie Európska komisia vyhodnotí ako porušenie plnenia plánu, zostávajúca nevyplatená čiastka vo výške 2,7 miliardy, môže byť ohrozená. Výrok preto hodnotíme ako pravdivý.";"Európska únia";2025-11-30;"Michal Šimečka";"Progresívne Slovensko"
"Pán predseda (Michal Šimečka, pozn.), prednedávnom ste povedali, že v ústave je napísané, že Slovensko je liberálna demokracia.";Zavádzajúce;"Šimečka na tlačovej konferencii priamo nepovedal, že v ústave je napísaný pojem liberálna demokracia. Hovoril o tom, že z politologického hľadiska sa systém, ktorý máme dnes zakotvený v ústave, nazýva liberálna demokracia. Kaliňák posúva jeho slová, výrok preto hodnotíme ako zavádzajúci.";Ústava;2025-11-30;"Robert Kaliňák";"SMER - sociálna demokracia"
"Pretože táto vládna väčšina neotvára žiadne schôdze na odvolávanie ministrov, čo mimochodom tiež nie je úplne ústavná prax, ale my sme si zvykli, že vy absolútne kašlete.";Zavádzajúce;"Vedenie NR SR otvorilo dohromady päť schôdzí na odvolávanie štyroch ministrov. Hoci od decembra 2024 neprerokovávajú návrhy na odvolanie ministrov, tvrdenie, že neotvárajú žiadne schôde, je zavádzajúce.  ";"Legislatívny proces a hlasovania";2025-11-30;"Michal Šimečka";"Progresívne Slovensko"
"Aj vaša poslankyňa včera povedala jasne, že je za to, aby sa neuplatňovali Benešove dekréty.";Zavádzajúce;"Poslankyňa Irena Biháriová v relácii Sobotné dialógy povedala, že Progresívne Slovensko je za to, aby sa Benešove dekréty neuplatňovali na konfiškovanie majetkov na základe kolektívnej viny. Zároveň uviedla, že PS nebude a ani nechce rušiť Benešové dekréty. PS žiada, aby na ich právnom základe nevznikali nové právne skutočnosti. To však neznamená, že spochybňujú vlastníctvo už vyvlastnených pozemkov. Výrok preto hodnotíme ako zavádzajúci.";"Vzťahy s Maďarskom";2025-11-30;"Robert Kaliňák";"SMER - sociálna demokracia"
"Nerozumiete, že to je predsa aj uznesenie Národnej rady z 2007, na ktoré sa mimochodom odvolávame, ktoré tiež povedalo, že na základe Benešových dekrétov už by sa nemali zakladať nové právomoci.";Pravda;"V uznesení Národnej rady Slovenskej republiky č. 533 z 20. septembra 2007, ktorá sa venuje Benešovým dekrétom, je napísané, že dnes na ich základe nemôžu vzniknúť nové právne vzťahy. Výrok preto hodnotíme ako pravdivý.";"Vzťahy s Maďarskom";2025-11-30;"Michal Šimečka";"Progresívne Slovensko"
"To, čo tu robí táto vláda, je bezprecedentné, to sme nikdy nemali, že by sa takmer rok, niektoré tam už budú viac ako rok, odkladali odvolávania ministrov, to sme nikdy nemali.";Pravda;"Návrh na odvolanie ministra vnútra Matúša Šutaja Eštoka bol doručený do NRSR v decembri 2024. Dáta o hlasovaniach v parlamente od roku 2002 ukazujú, že odvolávania počas štvrtej vlády Roberta Fica patria k najzdĺhavejším. V predošlých volebných obdobiach dochádzalo k hlasovaniu o odvolávaní približne jeden až dva týždne od doručnia návrhu, v niektorých prípadoch do mesiaca. Údaje o prvom a druhom volebnom období nie sú kompletné, na základe dostupných údajov hodnotíme výrok ako pravdivý.";"Legislatívny proces a hlasovania";2025-11-23;"Ján Hargaš";"Progresívne Slovensko"
"Veď to bol túto človek z Progresívneho Slovenska, keď preberal ako úradnícky premiér, tak povedal, že tak katastrofálne rozvrátené verejné financie ešte Slovensko nemalo.";Zavádzajúce;"Po nástupe do funkcie premiéra úradníckej vlády Ľudovít Ódor konštatoval, že stav verejných financií nie je priaznivý a upozornil na potrebu konsolidácie. Neskôr Ódor kandidoval za stranu Progresívne Slovensko v eurovoľbách v roku 2024. K finančnej situácii krajiny sa vyjadroval aj minister financií z úradníckej vlády Michal Horváth, ktorý ju označil za historicky najhoršiu z hľadiska udržateľnosti verejných financií. Horváth však nemá žiadne väzby na Progresívne Slovensko a Ódorove verejné vyhlásenia boli podstatne umiernené v porovnaní s tvrdeniami Tomáša Druckera. Jeho výrok preto hodnotíme ako zavádzajúci.";Ekonomika;2025-11-23;"Tomáš Drucker";Hlas
"Ale ešte raz poviem, takýto úrad, ktorý chráni oznamovateľov protispoločenskej činnosti, tu má byť a bol to práve úrad alebo teda vláda Petra Pellegriniho, kedy sa takýto úrad zriadil.";Pravda;"Úrad na ochranu oznamovateľov vznikol na základe zákona, ktorý bol prijatý v roku 2019 za vlády Petra Pellegriniho. Výrok Tomáša Druckera preto hodnotíme ako pravdivý. ";Iné;2025-11-23;"Tomáš Drucker";Hlas
"Podľa mňa bude možno potrebné tú výzvu zrušiť v tých zmluvách, problém je, že už niektoré zmluvy sa tak ponáhľali na tom Kmecovom úrade, že niektoré zmluvy už sú podpísané približne za hodnotu 45 miliónov eur, ak sa nemýlim.";Pravda;"Z inovačnej výzvy už bolo podpísaných 13 zmlúv, boli podpísané a zverejnené v centrálnom registri zmlúv, sú tak právoplatné a účinné. Štátna tajomníčka úradu Alena Sabelová však uviedla, že finančné prostriedky z nich nebudú vyplatené, kým sa neskončí audit. Hoci zmluvy sú už podpísané v hodnote 65 miliónov, nie 45 miliónov eur, výrok hodnotíme v duchu povedaného ako pravdivý.";Iné;2025-11-23;"Ján Hargaš";"Progresívne Slovensko"
"Na vládu nebola predložená žiadna správa, ktorá by spochybňovala vakcinácie. Áno, pán Kotlár ju prezentoval, my sme povedali, že taká správa nepríde na vládu, x-krát sme sa výrazným spôsobom ohradili, že pán splnomocnenec je tu na to, aby prišiel so správou k prevereniu pandémie.";Nepravda;"Splnomocnenec vlády Peter Kotlár v októbri 2024 predložil vláde správu o svojej činnosti, ktorá bola na vláde prerokovaná 15. januára 2025. Správa sa okrem iného venuje aj vakcínam proti covidu-19, ktoré opisuje aj v súvislosti s nežiaducimi účinkami a spochybňuje ich bezpečnosť a účinnosť. Súčasťou správy nie je výskum Petra Kotlára o bezpečnosti vakcíny – uvedené tvrdenia preberá z externých zdrojov. Členovia strany Hlas-SD opakovane kritizovali aktivity splnomocnenca, ktoré nesúhlasia s jeho štatútom. Výrok hodnotíme ako nepravdivý.";Zdravotníctvo;2025-11-23;"Tomáš Drucker";Hlas
"Nákup nehnuteľností pod inovačné technologické centrum, neviem, či toto zarezonovalo, to musím vysvetliť, lebo štát kúpil pozemky, za ktoré nikto na trhu nebol ochotný zaplatiť 8 miliónov eur, štát za ne zaplatil 17 miliónov eur.";Pravda;"Areál bývalého nákupného centra vo Voderadoch sa nepodarilo predať ani v dražbe s vyvolávacou cenou šesť miliónov eur. Napokon ho však za takmer 17 miliónov eur získalo združenie Národné inovačné a technické centrum (NITC), peniaze na jeho nákup mal poskytnúť Úrad podpredsedu vlády SR pre Plán obnovy a znalostnú ekonomiku. Výrok preto hodnotíme ako pravdivý.";Iné;2025-11-23;"Ján Hargaš";"Progresívne Slovensko"
"Sa nám zvyšujú počet ľudí na očkovanie, že ľudia dôverujú očkovaniu.";Zavádzajúce;"Hoci nemocnice hlásia rastúci záujem o očkovanie proti covidu-19, preočkovanosť detí na Slovensku v posledných rokoch klesá a zaočkovanosť proti chrípke sa dlhodobo drží na úrovni okolo piatich percent populácie. Výrok hodnotíme ako zavádzajúci.";Zdravotníctvo;2025-11-23;"Tomáš Drucker";Hlas
"Keď sa schvaľoval ten zákon o dotáciách u pána Kmeca, tak vaše ministerstvo (školstva, pozn.) dalo pomerne ostré pripomienky v medzirezortnom pripomienkovaní, ste boli proti tomu, aby sa takto rozdávali dotácie u pána Kmeca, ale z nejakého zvláštneho dôvodu ste stiahli tie pripomienky potom a ten zákon prešiel.";Pravda;"V procese schvaľovania zákona o poskytovaní dotácií v pôsobnosti Úradu podpredsedu vlády SR pre Plán obnovy a znalostnú ekonomiku vznieslo ministerstvo školstva osem pripomienok, pričom štyri z nich následne stiahlo. V marci 2025 zákon prešiel v Národnej rade. Výrok preto hodnotíme ako pravdivý.";Školstvo;2025-11-23;"Ján Hargaš";"Progresívne Slovensko"
