Výrok;Vyhodnotenie;Odôvodnenie;Oblast;Dátum;Meno;"Politická strana"
"Tam je dnes skoro 6,5 miliardy eur a to sú veľmi vážne peniaze, i keď viacerí sporitelia si možno celkom neuvedomujú, že druhý pilier je súčasťou prvého pilieru.";Pravda;"Približných 6,5 miliardy eur v 2. pilieri dôchodkového starobného sporenia možno považovať za pravdivý údaj. Ministerstvo práce, sociálnych vecí a rodiny uvádza k 31.10.2014 spravovaný majetok DSS v celkovej výške 6,314 a postúpené príspevky v celkovej výške 6,487 miliárd eur. Portál sme.sk k 1";;;"Ján Richter";"SMER - sociálna demokracia"
"Ten sporiteľ nemôže byť podvedený. On už bol podvedený pri vzniku druhého piliera, ako takého, lebo nepoznal všetky informácie a napríklad nepoznal ani to, za akých podmienok bude sa realizovať výplata jeho prvého dôchodku, lebo zákon, ktorý pripravil vtedajší minister pán Kaník, bol nevykonateľný. Až my sme ten zákon dali do polohy, ktorá je by som povedal štandardná a realizovateľná.";Pravda;"O podvode v súvislosti so sporením v 2 pilieri sa hovorí od jeho vzniku. Tému overoval i demagog.sk v roku 2011. Výsledky výskumu agentúry Focus potvrdili, že vyše polovica sporiteľov nemá ani základné vedomosti o investovaní. Do 2. piliera tak mnohí sporitelia vstúpili aj pod tlakom informačný";;;"Ján Richter";"SMER - sociálna demokracia"
"Ona sa bude postupne posúvať, to je prirodzene, lebo tá stredná doba dĺžky života neustále rastie, čo je dobre a pozitívne.";Neoveritelné;;;;"Ján Richter";"SMER - sociálna demokracia"
"My vychádzame z priemeru, ktorý ponúka štatistika, že dĺžka doby dožitia toho dôchodcu je v priemere 19 rokov na úrovni Slovenska.";Neoveritelné;;;;"Ján Richter";"SMER - sociálna demokracia"
"Lebo dnes je to 3-tisíc v rámci celého roka (počet nových dôchodcov, pozn.) a priemerná suma nasporená je 30 eur na jedného dôchodcu, čo je prirodzene, lebo tá dĺžka ten doby toho sporenia tomu jednoducho zodpovedá.";Neoveritelné;"Je pravdou, že tri životné poisťovne začali po 10 rokoch zmien a úprav v II. dôchodkovom pilieri vyplácať dôchodky, ktorých priemerná výška sa vyšplhala na sumu 30 EUR.  Ukázali to výpočty Inštitútu finančnej politiky (IFP) pri Ministerstve financií (MF) SR.Priemerný dôchodok z druhého piliera";;;"Ján Richter";"SMER - sociálna demokracia"
"To znamená, to je otázka koľko je nasporené prostredníctvom druhého piliera. A to je menej, ako ponúka prvý pilier. Ten druhý pilier je na tom slabšie.";Pravda;"Ján Richter má pravdu pri tvrdení, že momentálne je na tom druhý pilier horšie ako prvý pilier.Od 1.1.2015 može sporiteľ požiadať o dôchodok z II. piliera najskôr 60 dní pred dovŕšením dôchodkového veku. Žiadosť môže podať v DSS alebo v Sociálnej poisťovni.""Dôchodky budú vyplácané komerčnými subjekt";;;"Ján Richter";"SMER - sociálna demokracia"
"Tým zároveň aj reagujem na niektoré návrhy pravicových politikov, ale chcem povedať zhodou okolností práve tento zákon je ten zákon, kde sa relatívne vládna a opozičná časť politikov vzácne zhodla. Cez 100 hlasov dostal tento zákon v parlamente. Snáď mimo Mostu-Híd a pána Švejnu, ktorý možno má iné názory.";Pravda;"Zákon č. 43/2004 Z. z. o starobnom dôchodkovom sporení prešiel dňa 5. júna 2014 v treťom čítaní aj s hlasmi opozičných poslancov v celkovom počte 101 hlasov. Na hlasovaní nebolo prítomných dvadsať poslancov rovnako sa sa ich 20 hlasovania zdržalo. Proti zákonu hlasovalo sedem poslancov. Z poslanecké";;;"Ján Richter";"SMER - sociálna demokracia"
"...ale základný princíp, ktorý je a vždy bude a od ktorého nemôžeme ustúpiť, toto musí byť doživotný dôchodok. To je základný princíp. To nie je dobrovoľný pilier. Ten je tretí. Ten je tretí. Prvý a druhý pilier sa zrátava a tvorí súčasť jedného dôchodku.";Pravda;"Vládna strana Smer v zásade nesúhlasí s myšlienkou, na ktorej vznikol II. dôchodkový pilier, ako postupné nahradenie úlohy štátu pri správe dôchodkov, kedy bola pôvodne do druhého piliera určená až polovica odvádzaných peňazí a sporiteľ si mohol vybrať úroveň výnosnosti s prináležajúcou úrovňou rizi";;;"Ján Richter";"SMER - sociálna demokracia"
"Poisťovňa Union je na tom lepšie, ako Allianz, respektíve Generali, ktoré ponúkli 15 až 20-percentné rozdiely.";Neoveritelné;;;;"Ján Richter";"SMER - sociálna demokracia"
"My sme aj v roku 2012 jasne povedali, že výnos sporiteľov, ktorí sú v druhom pilieri, pri nástupu do roku 2015, keď sa vyplácajú prvé dôchodky, bude nižší o 16 až 18%.";Pravda;"Minister práce, sociálnych vecí a rodiny Ján Richter toto naozaj v roku 2012 povedal v rozhovore pre Hospodárske noviny. Neskôr naňho nadviazal aj predseda parlamentného výboru pre sociálne veci Ján Podmanický (SMER-SD) v prejave v NR SR. Agentúra SITA priniesla tiež v roku 2012 takéto tvrdenie pred";;;"Ján Richter";"SMER - sociálna demokracia"
